"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
19039_3,281,"9A","",3,"","",""
19085_3,281,"8B","",3,"","",""
19086_3,281,"9B","",3,"","",""
19118_3,281,"309","",3,"","",""
19119_3,281,"441","",3,"","",""
19120_3,281,"449","",3,"","",""
19122_3,281,"740","",3,"","",""
19123_3,281,"741","",3,"","",""
19124_3,281,"750","",3,"","",""
19125_3,281,"751","",3,"","",""
19128_3,281,"761","",3,"","",""
19130_3,281,"766","",3,"","",""
19131_3,281,"770","",3,"","",""
19132_3,281,"771","",3,"","",""
19133_3,281,"775","",3,"","",""
19308_3,281,"13","",3,"","",""
19309_3,281,"1A","",3,"","",""
19310_3,281,"20","",3,"","",""
19311_3,281,"200","",3,"","",""
19312_3,281,"2A","",3,"","",""
19313_3,281,"31","",3,"","",""
19314_3,281,"32","",3,"","",""
19315_3,281,"35","",3,"","",""
19316_3,281,"3A","",3,"","",""
19317_3,281,"40","",3,"","",""
19318_3,281,"41","",3,"","",""
19319_3,281,"42","",3,"","",""
19320_3,281,"43","",3,"","",""
19321_3,281,"44","",3,"","",""
19322_3,281,"45","",3,"","",""
19323_3,281,"46","",3,"","",""
19325_3,281,"4A","",3,"","",""
19327_3,281,"5A","",3,"","",""
19328_3,281,"6A","",3,"","",""
19424_3,281,"590","",3,"","",""
19425_3,281,"596","",3,"","",""
19426_3,281,"720","",3,"","",""
19427_3,281,"721","",3,"","",""
19477_3,281,"504","",3,"","",""
19479_3,281,"6","",3,"","",""
19480_3,281,"7","",3,"","",""
19484_3,281,"5N","",3,"","",""
19798_3,281,"109","",3,"","",""
19868_3,281,"101","",3,"","",""
19869_3,281,"102","",3,"","",""
19870_3,281,"409","",3,"","",""
19871_3,281,"561","",3,"","",""
19872_3,281,"568","",3,"","",""
19873_3,281,"580","",3,"","",""
20398_3,281,"33","",3,"","",""
20400_3,281,"713","",3,"","",""
20401_3,281,"772","",3,"","",""
20408_3,281,"722","",3,"","",""
20409_3,281,"S1","",3,"","",""
20410_3,281,"S2","",3,"","",""
20658_3,281,"4E","",3,"","",""
20882_3,281,"33","",3,"","",""
21059_3,281,"6","",3,"","",""
21146_3,281,"926X","",3,"","",""
21208_3,281,"912X","",3,"","",""
21209_3,281,"953X","",3,"","",""
21210_3,281,"960X","",3,"","",""
21449_3,281,"11","",3,"","",""
21450_3,281,"220","",3,"","",""
21568_3,281,"6P","",3,"","",""
21618_3,281,"252","",3,"","",""
21651_3,281,"2N","",3,"","",""
21868_3,281,"10","",3,"","",""
21869_3,281,"100N","",3,"","",""
21870_3,281,"113N","",3,"","",""
21871_3,281,"114N","",3,"","",""
21872_3,281,"118N","",3,"","",""
21873_3,281,"123N","",3,"","",""
21874_3,281,"200N","",3,"","",""
21923_3,281,"1002","",3,"","",""
21924_3,281,"1003","",3,"","",""
21925_3,281,"1004","",3,"","",""
21926_3,281,"1005","",3,"","",""
21927_3,281,"1006","",3,"","",""
21928_3,281,"1007","",3,"","",""
21929_3,281,"1008","",3,"","",""
21930_3,281,"10N","",3,"","",""
21931_3,281,"11N","",3,"","",""
21935_3,281,"17","",3,"","",""
21939_3,281,"213N","",3,"","",""
21942_3,281,"230N","",3,"","",""
21943_3,281,"231N","",3,"","",""
21944_3,281,"235N","",3,"","",""
21945_3,281,"237N","",3,"","",""
21946_3,281,"238N","",3,"","",""
21957_3,281,"694","",3,"","",""
21960_3,281,"75","",3,"","",""
21983_3,281,"41","",3,"","",""
22283_3,281,"2A","",3,"","",""
22284_3,281,"2B","",3,"","",""
22285_3,281,"4A","",3,"","",""
22286_3,281,"4B","",3,"","",""
22308_3,281,"81","",3,"","",""
22309_3,281,"83 Ly","",3,"","",""
22310_3,281,"84","",3,"","",""
22447_3,281,"189","",3,"","",""
22448_3,281,"270T","",3,"","",""
22449_3,281,"2A","",3,"","",""
22450_3,281,"2B","",3,"","",""
22783_3,281,"80 Ly","",3,"","",""
22784_3,281,"82","",3,"","",""
22803_3,281,"85 Ly","",3,"","",""
23283_3,281,"4","",3,"","",""
23463_3,281,"402A","",3,"","",""
23464_3,281,"411 T","",3,"","",""
23488_3,281,"1 S","",3,"","",""
23489_3,281,"1/5 N","",3,"","",""
23491_3,281,"2 N","",3,"","",""
23493_3,281,"3/4 N","",3,"","",""
23494_3,281,"3/4 S","",3,"","",""
23499_3,281,"5 S","",3,"","",""
23500_3,281,"6 N","",3,"","",""
23501_3,281,"6 Ø","",3,"","",""
23503_3,281,"62N","",3,"","",""
23510_3,281,"60N","",3,"","",""
23553_3,281,"86","",3,"","",""
23573_3,281,"11N","",3,"","",""
23574_3,281,"1201","",3,"","",""
23575_3,281,"1202","",3,"","",""
23576_3,281,"1204","",3,"","",""
23577_3,281,"1205","",3,"","",""
23578_3,281,"1207","",3,"","",""
